pcs_rider_path,season,pcs_points,racedays,kms,wins,top3s,top10s
felix-gall,2026,1404.0,62,9777,2,13,22
felix-gall,2025,1122.0,76,11694,0,5,27
felix-gall,2024,557.0,71,10653,0,0,16
felix-gall,2023,990.0,63,9984,2,7,22
felix-gall,2022,261.0,66,10047,0,0,9
felix-gall,2021,36.0,41,5646,0,0,0
felix-gall,2020,8.0,11,1641,0,0,0
felix-gall,2019,,9,1103,0,0,0
felix-gall,2018,1.0,10,1480,0,0,1
felix-gall,2017,2.0,8,1003,0,0,0
felix-grossschartner,2026,303.0,73,10884,1,3,8
felix-grossschartner,2025,468.0,83,12693,2,5,14
felix-grossschartner,2024,370.0,78,11674,1,5,13
felix-grossschartner,2023,662.0,75,12187,0,4,13
felix-grossschartner,2022,260.0,62,9611,2,3,10
felix-grossschartner,2021,347.0,75,11922,1,2,12
felix-grossschartner,2020,437.0,68,10948,1,2,12
felix-grossschartner,2019,913.0,75,11426,2,3,18
felix-grossschartner,2018,521.0,70,10665,0,5,11
felix-grossschartner,2017,180.0,70,10883,0,1,9
felix-grossschartner,2016,133.0,55,8288,0,0,3
felix-grossschartner,2015,18.0,31,4856,0,1,2
felix-grossschartner,2014,,6,843,0,0,0
felix-grossschartner,2013,3.0,15,1794,0,0,0
felix-grossschartner,2012,5.0,3,132,0,0,0
patrick-konrad,2026,71.0,63,9679,0,1,1
patrick-konrad,2025,239.0,65,10184,0,0,7
patrick-konrad,2024,206.0,56,8011,0,0,7
patrick-konrad,2023,388.0,75,11965,0,1,7
patrick-konrad,2022,385.0,66,10332,0,0,7
patrick-konrad,2021,633.0,70,11396,2,5,12
patrick-konrad,2020,568.0,53,8421,0,5,14
patrick-konrad,2019,608.0,69,11015,1,3,17
patrick-konrad,2018,806.0,75,12078,0,0,22
patrick-konrad,2017,481.0,86,13674,0,1,8
patrick-konrad,2016,234.0,60,9445,0,1,6
patrick-konrad,2015,223.0,55,8527,0,0,10
patrick-konrad,2014,110.0,29,4181,0,1,5
patrick-konrad,2013,4.0,13,2069,0,0,0
patrick-konrad,2012,,11,1439,0,0,1
