pcs_rider_path,first_name,last_name,country_code,pcs_name,team,age,date_of_birth,wins_total,wins_season,racedays_season,top3s_season,top10s_season,pcs_points_season,season,profile_url,fetched_at
felix-gall,Felix,Gall,AT,Felix Gall,Decathlon CMA CGM Team,28,1998-02-27,4,2,62,13,22,1404.0,2026,https://www.procyclingstats.com/rider/felix-gall,2026-09-22T17:08:46
felix-grossschartner,Felix,Großschartner,AT,Felix Großschartner,UAE Team Emirates - XRG,32,1993-12-23,10,1,73,3,8,303.0,2026,https://www.procyclingstats.com/rider/felix-grossschartner,2026-09-22T17:08:46
patrick-konrad,Patrick,Konrad,AT,Patrick Konrad,Lidl - Trek,34,1991-10-13,3,0,63,1,1,71.0,2026,https://www.procyclingstats.com/rider/patrick-konrad,2026-09-22T17:08:46
jack-haig,Jack,Haig,AU,Jack Haig,Netcompany INEOS,33,1993-09-06,2,0,68,0,0,120.0,2026,https://www.procyclingstats.com/rider/jack-haig,2026-09-22T17:08:46
jai-hindley,Jai,Hindley,AU,Jai Hindley,Red Bull - BORA - hansgrohe,30,1996-05-05,9,0,62,5,9,698.0,2026,https://www.procyclingstats.com/rider/jai-hindley,2026-09-22T17:08:46
michael-matthews,Michael,Matthews,AU,Michael Matthews,Team Jayco AlUla,35,1990-09-26,44,1,40,1,5,279.0,2026,https://www.procyclingstats.com/rider/michael-matthews,2026-09-22T17:08:46
ben-o-connor,Ben,O'Connor,AU,Ben O'Connor,Team Jayco AlUla,30,1995-11-25,11,0,75,0,8,400.0,2026,https://www.procyclingstats.com/rider/ben-o-connor,2026-09-22T17:08:46
michael-storer,Michael,Storer,AU,Michael Storer,Tudor Pro Cycling Team,29,1997-02-28,10,0,67,1,15,532.0,2026,https://www.procyclingstats.com/rider/michael-storer,2026-09-22T17:08:46
luke-tuckwell,Luke,Tuckwell,AU,Luke Tuckwell,Red Bull - BORA - hansgrohe,22,2004-06-21,0,0,66,2,7,370.0,2026,https://www.procyclingstats.com/rider/luke-tuckwell,2026-09-22T17:08:46
tiesj-benoot,Tiesj,Benoot,BE,Tiesj Benoot,Decathlon CMA CGM Team,32,1994-03-11,4,0,31,0,0,187.0,2026,https://www.procyclingstats.com/rider/tiesj-benoot,2026-09-22T17:08:46
remco-evenepoel,Remco,Evenepoel,BE,Remco Evenepoel,Red Bull - BORA - hansgrohe,26,2000-01-25,79,12,50,20,30,2926.0,2026,https://www.procyclingstats.com/rider/remco-evenepoel,2026-09-22T17:08:46
quinten-hermans,Quinten,Hermans,BE,Quinten Hermans,Pinarello Q36.5 Pro Cycling Team,31,1995-07-29,3,0,57,1,7,489.0,2026,https://www.procyclingstats.com/rider/quinten-hermans,2026-09-22T17:08:46
thibau-nys,Thibau,Nys,BE,Thibau Nys,Lidl - Trek,23,2002-11-12,12,0,29,2,4,132.0,2026,https://www.procyclingstats.com/rider/thibau-nys,2026-09-22T17:08:46
alec-segaert,Alec,Segaert,BE,Alec Segaert,Bahrain - Victorious,23,2003-01-16,5,3,58,3,5,518.0,2026,https://www.procyclingstats.com/rider/alec-segaert,2026-09-22T17:08:46
wout-van-aert,Wout,Van Aert,BE,Wout van Aert,Team Visma | Lease a Bike,32,1994-09-15,59,8,46,11,20,1376.0,2026,https://www.procyclingstats.com/rider/wout-van-aert,2026-09-22T17:08:46
maxim-van-gils,Maxim,Van Gils,BE,Maxim Van Gils,Red Bull - BORA - hansgrohe,26,1999-11-25,8,1,36,2,5,317.0,2026,https://www.procyclingstats.com/rider/maxim-van-gils,2026-09-22T17:08:46
gianni-vermeersch,Gianni,Vermeersch,BE,Gianni Vermeersch,Red Bull - BORA - hansgrohe,33,1992-11-19,4,0,48,0,5,307.0,2026,https://www.procyclingstats.com/rider/gianni-vermeersch,2026-09-22T17:08:46
