first_name,last_name,country_code,uci_rank,uci_points,pcs_rider_path,is_starter
Felix,Gall,AT,9,3425.0,felix-gall,True
Felix,Großschartner,AT,254,389.3,felix-grossschartner,True
Patrick,Konrad,AT,1239,46.0,patrick-konrad,True
Jack,Haig,AU,645,120.0,jack-haig,True
Jai,Hindley,AU,39,1585.8,jai-hindley,True
Michael,Matthews,AU,97,881.9,michael-matthews,True
Ben,O'Connor,AU,172,557.8,ben-o-connor,True
Michael,Storer,AU,42,1522.0,michael-storer,True
Luke,Tuckwell,AU,138,659.9,luke-tuckwell,True
Tiesj,Benoot,BE,454,201.9,tiesj-benoot,True
Remco,Evenepoel,BE,2,7921.6,remco-evenepoel,True
Quinten,Hermans,BE,91,947.5,quinten-hermans,True
Thibau,Nys,BE,324,300.0,thibau-nys,True
Alec,Segaert,BE,106,843.0,alec-segaert,True
Wout,Van Aert,BE,8,3733.6,wout-van-aert,True
Maxim,Van Gils,BE,238,419.5,maxim-van-gils,True
Gianni,Vermeersch,BE,144,641.9,gianni-vermeersch,True
Kaden,Hopkins,BM,571,141.0,kaden-hopkins,True
Nicholas,Narraway,BM,662,115.0,nicholas-narraway,True
Henrique da Silva,Avancini,BR,470,184.0,henrique-da-silva-avancini,True
Derrick,Chavarria,BZ,477,180.0,derrick-chavarria,True
Pier-André,Côté,CA,561,144.0,pier-andre-cote,True
Derek,Gee-West,CA,62,1258.3,derek-gee,True
Hugo,Houle,CA,1059,59.0,hugo-houle,True
Michael,Leonard,CA,703,106.3,michael-leonard1,True
Michael,Woods,CA,1179,50.0,michael-woods,True
Nickolas,Zukowsky,CA,628,125.0,nickolas-zukowsky,True
Stefan,Bissegger,CH,302,326.8,stefan-bissegger,True
Fabio,Christen,CH,350,279.0,fabio-christen,True
Jan,Christen,CH,49,1419.0,jan-christen,True
Marc,Hirschi,CH,109,828.0,marc-hirschi,True
Stefan,Küng,CH,177,544.1,stefan-kung,True
Mauro,Schmid,CH,14,2766.8,mauro-schmid,True
Vicente,Rojas,CL,958,69.0,vicente-rojas,True
You,Li,CN,1314,40.0,you-li,True
Santiago,Buitrago,CO,61,1258.3,santiago-buitrago-sanchez,True
Sergio,Higuita,CO,154,615.0,sergio-higuita,True
Wilmar Andres,Paredes,CO,323,301.0,wilmar-paredes,True
Nairo,Quintana,CO,292,336.0,nairo-quintana,True
Brandon Smith,Rivera,CO,552,147.0,brandon-smith-rivera-vargas,True
Harold,Tejada,CO,67,1175.0,harold-tejada,True
Luis Daniel,Oses,CR,612,130.0,luis-daniel-oses,True
Andreas,Miltiadis,CY,676,112.0,andreas-miltiadis,True
Pavel,Novák,CZ,1288,43.0,pavel-novak,True
Jakub,Otruba,CZ,773,94.4,jakub-otruba,True
Mathias,Vacek,CZ,81,1059.0,mathias-vacek,True
Marco,Brenner,DE,70,1163.0,marco-brenner,True
Nico,Denz,DE,802,89.5,nico-denz,True
